Level,Date and Time,Source,Event ID,Task Category
Information,12/12/2021 4:47:50 AM,Microsoft-Windows-Security-SPP,1066,None,"Initialization status for service objects.
C:\Windows\system32\sppwinob.dll, msft:spp/windowsfunctionality/agent/7.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/inherited/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/phone/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/pkey/detect, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/ActionScheduler/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/TaskScheduler/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/statecollector/pkey, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/volume/services/kms/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/volume/services/kms/activationinfo/1.0, 0x00000000, 0x00000000
"
Information,12/12/2021 4:47:43 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,12/12/2021 4:47:33 AM,Microsoft-Windows-Security-SPP,900,None,"The Software Protection service is starting.
Parameters:<explicit>"
Information,12/12/2021 4:47:05 AM,Microsoft-Windows-MSDTC 2,4202,TM,"MSDTC started with the following settings: Security Configuration (OFF = 0 and ON = 1): Allow Remote Administrator = 0, Network Clients = 0, Transaction Manager Communication:  Allow Inbound Transactions = 0, Allow Outbound Transactions = 0, Transaction Internet Protocol (TIP) = 0,  Enable XA Transactions = 0,  Enable SNA LU 6.2 Transactions = 1,  MSDTC Communications Security = Mutual Authentication Required, Account = NT AUTHORITY\NetworkService,  Firewall Exclusion Detected = 0 Transaction Bridge Installed = 0 Filtering Duplicate Events = 1"
Information,12/12/2021 4:46:57 AM,edgeupdate,0,None,Service stopped.
Information,12/12/2021 4:45:28 AM,Microsoft-Windows-WMI,5617,None,Windows Management Instrumentation Service subsystems initialized successfully
Information,12/12/2021 4:45:08 AM,Microsoft-Windows-WMI,5611,None,The Windows Management Instrumentation service has detected an inconsistent system shutdown.
Information,12/12/2021 1:44:06 PM,Microsoft-Windows-WMI,5615,None,Windows Management Instrumentation Service started sucessfully
Information,12/12/2021 4:44:20 AM,tvnserver,257,None,Service has been started successfully
Information,12/12/2021 1:43:42 PM,Microsoft-Windows-User Profiles Service,1531,None,"The User Profile Service has started successfully.  

"
Error,12/12/2021 1:44:09 PM,VSS,8193,None,"Volume Shadow Copy Service error: Unexpected error calling routine RegOpenKeyExW(-2147483646,SYSTEM\CurrentControlSet\Services\VSS\Diag,...).  hr = 0x80070005, Access is denied.
. 

Operation:
   Initializing Writer

Context:
   Writer Class Id: {e8132975-6f93-4464-a53e-1050253ae220}
   Writer Name: System Writer
   Writer Instance ID: {ca41b640-1b51-4341-a2ff-198e0e53ea8f}"
Information,12/12/2021 4:38:34 AM,VSS,8224,None,The VSS service is shutting down due to idle timeout. 
Information,12/12/2021 4:36:13 AM,Microsoft-Windows-Security-SPP,903,None,"The Software Protection service has stopped.
"
Information,12/12/2021 4:36:13 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2121-11-18T12:36:12Z. Reason: RulesEngine.
Information,12/12/2021 4:35:58 AM,Microsoft-Windows-LoadPerf,1000,None,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.
Information,12/12/2021 4:35:58 AM,Microsoft-Windows-LoadPerf,1001,None,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
Information,12/12/2021 4:35:42 AM,Microsoft-Windows-Security-SPP,902,None,"The Software Protection service has started.
10.0.20348.169"
Information,12/12/2021 4:35:42 AM,Microsoft-Windows-Security-SPP,1003,None,"The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: 1ea11e95-b7b5-49f8-b3b8-164805630e84, 1, 1 [(0 [0x00000000, 1, 0], [(?)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 )]
2: 22105925-48c3-4ff4-a294-f654bb27e390, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
3: 27c4e172-0f4c-4a2d-86f0-ebfd77a583ce, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
4: 3f1a0b3b-cefc-48e4-8502-53299ec06146, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
5: 661f7658-7035-4b4c-9f35-010682943ec2, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
6: 716317e3-9177-41f8-a772-361050bb1b7f, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
7: 8f97e374-1be6-46d5-bb24-61f9d6400caf, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
8: 929d118a-4950-4d06-9ff1-ecd794f7d740, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
9: 9bd77860-9b31-4b7b-96ad-2564017315bf, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
10: b1c68fb2-b632-47a2-8719-488cc128b728, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
11: ce624156-a391-4585-93f9-7fb37405fbda, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
12: e73aabfa-12bc-4705-b551-2dd076bebc7d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
13: ffa0a98f-b13f-4433-91f4-8aff126ed407, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

"
Information,12/12/2021 4:35:40 AM,Microsoft-Windows-Security-SPP,1066,None,"Initialization status for service objects.
C:\Windows\system32\sppwinob.dll, msft:spp/windowsfunctionality/agent/7.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/inherited/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/phone/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/pkey/detect, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/ActionScheduler/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/TaskScheduler/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/statecollector/pkey, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/volume/services/kms/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/volume/services/kms/activationinfo/1.0, 0x00000000, 0x00000000
"
Information,12/12/2021 4:35:34 AM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/12/2021 4:35:30 AM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/12/2021 4:35:21 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,12/12/2021 4:34:57 AM,Microsoft-Windows-Security-SPP,900,None,"The Software Protection service is starting.
Parameters:<explicit>"
Information,12/12/2021 4:34:09 AM,VSS,8224,None,The VSS service is shutting down due to idle timeout. 
Information,12/12/2021 4:34:08 AM,Microsoft-Windows-MSDTC 2,4202,TM,"MSDTC started with the following settings: Security Configuration (OFF = 0 and ON = 1): Allow Remote Administrator = 0, Network Clients = 0, Transaction Manager Communication:  Allow Inbound Transactions = 0, Allow Outbound Transactions = 0, Transaction Internet Protocol (TIP) = 0,  Enable XA Transactions = 0,  Enable SNA LU 6.2 Transactions = 1,  MSDTC Communications Security = Mutual Authentication Required, Account = NT AUTHORITY\NetworkService,  Firewall Exclusion Detected = 0 Transaction Bridge Installed = 0 Filtering Duplicate Events = 1"
Information,12/12/2021 4:33:51 AM,edgeupdate,0,None,Service stopped.
Information,12/12/2021 4:33:05 AM,Microsoft-Windows-WMI,5617,None,Windows Management Instrumentation Service subsystems initialized successfully
Information,12/12/2021 1:30:39 PM,Microsoft-Windows-WMI,5615,None,Windows Management Instrumentation Service started sucessfully
Information,12/12/2021 4:31:09 AM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/12/2021 4:30:51 AM,tvnserver,257,None,Service has been started successfully
Information,12/12/2021 1:30:13 PM,Microsoft-Windows-User Profiles Service,1531,None,"The User Profile Service has started successfully.  

"
Error,12/12/2021 1:30:37 PM,VSS,8193,None,"Volume Shadow Copy Service error: Unexpected error calling routine RegOpenKeyExW(-2147483646,SYSTEM\CurrentControlSet\Services\VSS\Diag,...).  hr = 0x80070005, Access is denied.
. 

Operation:
   Initializing Writer

Context:
   Writer Class Id: {e8132975-6f93-4464-a53e-1050253ae220}
   Writer Name: System Writer
   Writer Instance ID: {78a941b7-d381-4062-a1a9-622935e8b17e}"
Information,12/12/2021 4:22:42 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2121-11-18T12:22:42Z. Reason: RulesEngine.
Information,12/12/2021 4:22:12 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,12/12/2021 4:17:27 AM,VSS,8224,None,The VSS service is shutting down due to idle timeout. 
Information,12/12/2021 4:16:51 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2121-11-18T12:16:51Z. Reason: RulesEngine.
Information,12/12/2021 4:16:20 AM,edgeupdate,0,None,Service stopped.
Information,12/12/2021 4:16:15 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,12/12/2021 4:14:28 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2121-11-18T12:14:27Z. Reason: RulesEngine.
Information,12/12/2021 4:14:27 AM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/12/2021 4:13:36 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,12/12/2021 4:13:26 AM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 2:06:55 PM,Windows Error Reporting,1001,None,"Fault bucket 1243388244606980992, type 5
Event Name: RADAR_PRE_LEAK_64
Response: Not available
Cab Id: 0

Problem signature:
P1: openfire-service.exe
P2: 4.6.5.0
P3: 10.0.20348.2.0.0
P4: 
P5: 
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Users\ADMINI~1\AppData\Local\Temp\RDR9411.tmp\empty.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.83e385cc-dfcc-43c4-8398-310b59d194ac.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.63fcf0b4-6eac-4447-bd39-3970b654ffb7.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.70cd2fec-38e3-46e5-a061-43fa496f2cab.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1b6fcd09-acd5-4f13-b6de-8c192fe64897.tmp.txt

These files may be available here:


Analysis symbol: 
Rechecking for solution: 0
Report Id: 3878cbca-6da0-4c3d-9e1c-7365a4a5432b
Report Status: 268435456
Hashed bucket: 830ac39dab30fe18e14167054db21380
Cab Guid: 0"
Information,12/11/2021 2:06:51 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 2:06:15 PM,VSS,8224,None,The VSS service is shutting down due to idle timeout. 
Information,12/11/2021 2:03:15 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:57:12 PM,VSS,8224,None,The VSS service is shutting down due to idle timeout. 
Information,12/11/2021 1:54:12 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:54:03 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:54:01 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:54:01 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:54:01 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:54:01 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:54:00 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:54:00 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:54:00 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:59 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:59 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:58 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:58 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:58 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:58 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:58 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:57 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:57 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:57 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:56 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:55 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:55 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:52 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:52 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:51 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:51 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:50 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
Information,12/11/2021 1:53:50 PM,Chkdsk,26228,None,"Chkdsk was executed in verify mode on a volume snapshot.  

Checking file system on \Device\HarddiskVolume2
Insufficient storage available to create either the shadow copy storage file or other shadow copy data.

A snapshot error occured while scanning this drive. Run an offline scan and fix.
"
